ip,association_id,allocation_id
13.229.32.157,eipassoc-0e2df0a049525a2db,eipalloc-04a8c2879da82ba3f
13.250.131.62,eipassoc-0fe5f593af898dead,eipalloc-008ec13a
13.250.141.167,eipassoc-06788a057ec41d3c3,eipalloc-881956b2
13.250.226.39,eipassoc-00bf424b397824d34,eipalloc-0d4b602c0ed270eb8
13.251.101.98,eipassoc-0ddeb822685764435,eipalloc-c3d0c7f9
13.251.136.100,eipassoc-07ff460a671a44f3e,eipalloc-0dedb709fd7afe645
13.251.145.126,eipassoc-0bbb9bf5194410f97,eipalloc-0735731cf8f32d467
13.251.175.3,eipassoc-07105f962cb15805e,eipalloc-0095e236a95558174
13.251.19.1,eipassoc-0916c9ce18cf36ec6,eipalloc-078358f97c9c4303e
13.251.243.244,eipassoc-0346a29e2f778146e,eipalloc-0484f14ca697ebd76
13.251.70.166,eipassoc-09f8273da88ebc479,eipalloc-002367c9e941dff82
18.136.144.64,eipassoc-0c11e62ece316dec1,eipalloc-037200a9370a4b025
18.136.186.78,eipassoc-02ed9d1993709f70b,eipalloc-0997a3aacbad96f86
18.136.218.144,eipassoc-06ca5d33e8aad27e9,eipalloc-0079f7a0ce291c137
18.136.237.210,eipassoc-03e6d07a1f9683b32,eipalloc-030b99715871099a5
18.136.38.185,eipassoc-0f0fef68f6d2107cb,eipalloc-04cd341323b6bf639
18.136.39.109,eipassoc-04bf8bbd32f776306,eipalloc-04f21920afdca7e0a
18.136.7.180,eipassoc-02f263a85e5972a93,eipalloc-0002674a5e04dcd11
18.136.85.35,eipassoc-0a6dd8e75f86a794d,eipalloc-0d0c7594e62ccbbf2
18.136.87.18,eipassoc-036070ab1d933aa31,eipalloc-0c1259d3989339e26
18.138.115.10,eipassoc-04eb2375ea4af78c1,eipalloc-09d587eed09761cde
18.138.140.121,eipassoc-027ee2c317a2329c1,eipalloc-01082897033ec5daa
18.138.82.32,eipassoc-0e017a6bf95d57fe7,eipalloc-0241145cd38e47a4b
18.139.104.41,eipassoc-0c16792ceefa4b0e6,eipalloc-047458fec35bc3091
18.139.134.131,eipassoc-01e4bcac354d167d4,eipalloc-05a3e7015ef77793d
18.139.140.213,eipassoc-0acfdbf72999cffa1,eipalloc-02b7b8e384a48460f
18.139.19.14,eipassoc-04a6b61a41123b165,eipalloc-077e72533b360ebaf
18.139.232.25,eipassoc-037f08176647b656e,eipalloc-0da413b32e0737f6a
18.139.27.111,eipassoc-0cd14d124151e0f2e,eipalloc-0554d3c726e80042d
18.139.65.169,eipassoc-007f85eccbefff94c,eipalloc-01a40e2e7a55bb472
18.139.81.170,eipassoc-0bade8b8d04222d6d,eipalloc-0bd78ecdefb85308a
18.140.73.174,eipassoc-034d02c938dc50f87,eipalloc-081131a860d7aba5f
18.141.54.148,eipassoc-06b568f6a93ccae92,eipalloc-00153986e47d78176
18.141.77.31,eipassoc-024ef4f6d67396d43,eipalloc-01a362f389e21eba6
18.141.86.157,eipassoc-0fbd1281089be8f70,eipalloc-0f2ef42a43e638eed
18.142.70.201,eipassoc-0d68313347696d873,eipalloc-06c91ecad85d055d5
3.0.121.30,,eipalloc-09ea70297eb775110
3.0.87.204,eipassoc-0fedda944ce822c02,eipalloc-0a99f736a80444695
3.1.134.247,eipassoc-02e68313d7b5d5674,eipalloc-04000e71fdcf5d327
3.1.145.27,eipassoc-085f88a556314a8df,eipalloc-072f224672d1c2f97
3.1.192.165,eipassoc-04134b32c46ddb3ca,eipalloc-04a0d2e34b3ac592d
46.137.233.154,,eipalloc-0a6b180dd0ed54532
52.220.148.214,eipassoc-03225b224fb6a210c,eipalloc-271c5e42
52.220.168.144,eipassoc-0ff9d2e2b69fb02f1,eipalloc-39603b5c
52.220.169.108,eipassoc-00a03732fb04938af,eipalloc-15673c70
52.220.170.8,eipassoc-03b5f03d1de2396a8,eipalloc-8287eae7
52.220.201.119,eipassoc-0870465dd13d61e37,eipalloc-0318eb62e31ceacf0
52.220.235.224,,eipalloc-001c4a3a
52.220.35.7,eipassoc-0128680d3024769be,eipalloc-0aa88e310229c4abf
52.220.8.68,eipassoc-0e7c5649db9913f1f,eipalloc-3020b30a
52.221.151.163,eipassoc-04e352177c94d26c5,eipalloc-f5663d90
52.221.159.223,eipassoc-303aa50a,eipalloc-a073e29a
52.221.45.13,eipassoc-0d42750b7e8d2753f,eipalloc-9c084bf9
52.221.47.9,eipassoc-3aa81c5d,eipalloc-26bdfe43
52.221.49.75,eipassoc-0e51fd1670b98b5c8,eipalloc-922b69f7
52.221.74.121,eipassoc-0486b555c00f29778,eipalloc-08a8430463b3c5f86
52.74.202.227,eipassoc-08ccf2c1679bd6d98,eipalloc-b62a68d3
52.74.224.66,eipassoc-0176464d077ee765d,eipalloc-969b5cf3
52.74.231.159,eipassoc-05b8f55f73d9fa224,eipalloc-03a531b4d90848f83
52.76.113.242,eipassoc-088cd81de241d4ea5,eipalloc-a3bbc0c6
52.76.153.247,eipassoc-0b259ccf048caca26,eipalloc-ab26b591
52.76.23.212,eipassoc-07eb8c25a2da00a56,eipalloc-3263f508
52.76.33.215,eipassoc-0a985e3d4f56ae410,eipalloc-1849e27d
52.76.93.218,eipassoc-0dbca3ab78c9cffb7,eipalloc-00a06f65
52.77.111.233,eipassoc-05d62891e465fee00,eipalloc-47673c22
52.77.41.84,eipassoc-037016236892e950b,eipalloc-02bb58a1a653312a2
52.77.88.188,eipassoc-6450ef98,eipalloc-bf5a71da
54.169.130.147,eipassoc-0c6e28c78046f9b20,eipalloc-07e04d4e58987ab79
54.169.214.253,eipassoc-e871498c,eipalloc-01e31e64
54.169.241.39,eipassoc-83f590e6,eipalloc-0be31e6e
54.169.252.50,eipassoc-c13552a4,eipalloc-f1bf4394
54.169.55.57,eipassoc-aae15167,eipalloc-0927aacd71d90dd5a
54.169.58.163,eipassoc-0db54804fb046a115,eipalloc-07cf148db25f6aa3a
54.179.193.26,eipassoc-0d5d6d8731edc49ed,eipalloc-0247cc8207f4158cf
54.179.216.178,eipassoc-04f9e412c6bc0ffe3,eipalloc-07ab11cbcf2736ac4
54.179.29.167,eipassoc-098076be720b139e0,eipalloc-09cbf524fdc10d339
54.179.47.73,,eipalloc-0bebeae37c933bf75
54.179.51.223,eipassoc-063d0d388658076f7,eipalloc-0b8d143be7d29b79b
54.179.6.167,eipassoc-0dd4975b37c95aa07,eipalloc-0642c727f6d8df03f
54.251.114.181,eipassoc-0d4442e5cfda6beef,eipalloc-02ffd126d22116107
54.251.122.240,eipassoc-0d74b48d3fe07740a,eipalloc-057ad10199dfcca23
54.251.228.39,,eipalloc-0b6018295c057c035
54.254.145.247,eipassoc-0a73864d7e8984bb8,eipalloc-02295b80240afd3fc
54.254.15.13,eipassoc-002adfb42c7a38cfe,eipalloc-099ce96a2c5dee631
54.254.157.25,eipassoc-03e5d9fdf9b10cfd1,eipalloc-0607423c65d185f1e
54.254.44.63,eipassoc-04f0efaadc8b5f2fc,eipalloc-0312840926913c42a
54.254.44.69,,eipalloc-05e0bde78ddb3297c
54.254.98.190,,eipalloc-05613d7e9414e64a9
54.255.2.75,eipassoc-0d12cbccd429133cd,eipalloc-08dfe6b0777580dc6
54.255.22.200,eipassoc-0b639aee342f8dffd,eipalloc-00c39781b18c6d588
54.255.253.28,eipassoc-0c96de83bc4341453,eipalloc-006b10066a1912174
54.255.3.156,eipassoc-06ff8d100f458e282,eipalloc-06a8ea2ea7548cf5c
13.228.126.158,eipassoc-3dca6c5b,eipalloc-41110324
13.228.67.53,,eipalloc-18bda17d
13.250.93.152,eipassoc-03a4d6703c44efc16,eipalloc-098972f31bdc653c2
18.140.103.70,,eipalloc-06d25519f7146c146
18.140.157.197,,eipalloc-0a3f7ced07712a32d
52.220.102.116,eipassoc-c5528c08,eipalloc-06d1e6cc9a89d044b
54.255.255.80,,eipalloc-0569c2bd2d555e928
18.136.12.74,eipassoc-0fc120de046e48e57,eipalloc-0d95faed0cfd9aa31
18.139.176.41,eipassoc-b5bb3678,eipalloc-0407dbc8c145257cd
3.1.121.229,eipassoc-0bf8718a47485ca55,eipalloc-0ad2e3abe7bd1af36
3.1.36.240,eipassoc-8fd07942,eipalloc-0a7b79c5b5532bff4
54.255.199.69,eipassoc-21d67cec,eipalloc-0101ddf0356c19e34
18.138.29.159,eipassoc-da833417,eipalloc-06fc41c13897bd2ee
3.1.177.177,eipassoc-e440f529,eipalloc-06bce02ab9f258894
52.77.95.162,,eipalloc-e19e2284
13.228.139.176,eipassoc-c4f36e38,eipalloc-0643348400d5431c7
13.251.217.25,eipassoc-78ab3384,eipalloc-029e6ae7d918d510b
52.74.153.171,,eipalloc-07904b597713a8c32
13.251.46.31,eipassoc-0a4bc32f9eb87d7db,eipalloc-0d3207e3fb13c98fe
18.139.12.88,eipassoc-08fd023d090b7e0a2,eipalloc-02ad1f283d3f34452
52.221.148.65,eipassoc-07c74314f1817b149,eipalloc-0fa3e083c7e4e23ac
52.76.172.39,eipassoc-0e9927cbfa15fab30,eipalloc-065a9118bd16cfd22
52.77.184.12,eipassoc-f609820a,eipalloc-096a11058a26dd1bf
13.228.18.159,,eipalloc-c77b47a2
13.228.251.23,eipassoc-04ed0b987aa113343,eipalloc-339dc509
13.229.162.138,,eipalloc-1abaf420
13.250.153.163,eipassoc-06f77740ccdf2aea6,eipalloc-3ba58701
13.250.221.182,eipassoc-033296c8d65f95e37,eipalloc-3aa58700
13.250.241.243,eipassoc-0f87d116422a3bd8a,eipalloc-96c1ecac
13.250.243.71,eipassoc-06668c50258f78213,eipalloc-b6c3ee8c
18.136.153.167,,eipalloc-0b0456f6ccfcd1792
18.136.154.68,eipassoc-058ab0ca77229832d,eipalloc-0d157e1cadfc5bedf
3.1.182.217,,eipalloc-0fdc41a5748297802
3.1.226.121,,eipalloc-0234919cbbd60b5b6
52.220.1.87,eipassoc-03e8e1ca60843d137,eipalloc-05843e60
52.220.10.172,,eipalloc-a3f87dc6
52.220.17.28,eipassoc-079f528233c32dd31,eipalloc-aac2ef90
52.220.232.75,eipassoc-0406568a18a15b329,eipalloc-9dfc87f8
52.220.255.178,,eipalloc-3da4e458
52.220.62.226,,eipalloc-779bf712
52.220.89.92,,eipalloc-505dd635
52.220.91.55,,eipalloc-4368fd26
52.221.156.205,,eipalloc-375f6b52
52.221.165.34,eipassoc-01ed6ddbe67b88a24,eipalloc-01200c64
52.74.117.219,,eipalloc-9129e0f4
52.74.164.156,eipassoc-0fae13ddbaea69fb4,eipalloc-bc853fd9
52.74.177.101,,eipalloc-11ba3e74
52.74.190.166,,eipalloc-abf51bce
52.74.198.105,eipassoc-0079890c2e79da394,eipalloc-12853f77
52.74.220.115,,eipalloc-857e95e0
52.74.230.23,,eipalloc-80bdf3ba
52.74.38.233,eipassoc-476d6b22,eipalloc-9975acfc
52.74.83.101,,eipalloc-f5689190
52.74.92.31,eipassoc-77db2b13,eipalloc-14da7171
52.74.96.29,eipassoc-062b128c42fac1af8,eipalloc-cff388aa
52.76.141.53,eipassoc-039148e5924b37456,eipalloc-887ac0ed
52.76.145.142,eipassoc-4ef6f72b,eipalloc-edea3288
52.76.255.184,eipassoc-b80107dd,eipalloc-b96cb5dc
52.76.26.241,eipassoc-0c18857d890288ae9,eipalloc-587ac03d
52.76.3.245,,eipalloc-8cca5ee9
52.76.33.135,eipassoc-d9da2abd,eipalloc-72d87317
52.76.50.186,,eipalloc-b6526e8c
52.76.9.2,,eipalloc-f0b00595
52.77.130.248,,eipalloc-22b50547
52.77.179.223,eipassoc-6c6dd708,eipalloc-0ea9176b
52.77.199.4,eipassoc-0deea2f85d76c5973,eipalloc-82cc77e7
52.77.201.183,eipassoc-0e57dfab5baae23bf,eipalloc-13853f76
52.77.202.233,eipassoc-0ab0cc6a9d9524dd0,eipalloc-0e942f6b
52.77.203.206,eipassoc-0d7d414240bf9b4cb,eipalloc-c6952ea3
52.77.203.26,eipassoc-05d2ff4dc58ed0421,eipalloc-51cc7734
52.77.203.31,eipassoc-06bd46f8d71ae3d0f,eipalloc-23ce7546
52.77.204.168,eipassoc-01d85fde08a68e375,eipalloc-b28b30d7
52.77.38.224,eipassoc-0743d7039d97a8320,eipalloc-0b282188af2bee46e
52.77.39.230,eipassoc-24281a40,eipalloc-12157277
52.77.7.202,,eipalloc-04943461
52.77.80.251,,eipalloc-d2a815b7
54.169.1.177,,eipalloc-0ce729047a6bb79df
54.169.102.110,,eipalloc-784a581a
54.169.137.152,eipassoc-2307a546,eipalloc-5a544c38
54.169.149.33,eipassoc-7802da1d,eipalloc-17352b75
54.169.164.82,eipassoc-09ea89268249bf712,eipalloc-00200c65
54.169.218.254,,eipalloc-2531c340
54.169.95.12,,eipalloc-9833d6fd
54.179.135.174,eipassoc-4071b325,eipalloc-8dddc9ef
54.179.161.52,,eipalloc-44a0b426
54.251.163.7,,eipalloc-01767268
54.254.188.145,eipassoc-b67060d4,eipalloc-33d1d851
54.254.217.234,eipassoc-44ed1821,eipalloc-c2ccc4a0
54.255.134.3,eipassoc-a39c33c6,eipalloc-c11affa4
13.228.48.11,eipassoc-073e2ea51788cbc1e,eipalloc-0bb99bbbe8921f352
18.136.137.98,eipassoc-1f4fc7e3,eipalloc-00666446dc930ab17
18.138.174.160,eipassoc-02ea6a92f5b67c2d1,eipalloc-0ca8154f9a1bb8eaa
3.0.108.168,eipassoc-08ac8611284ccfdfd,eipalloc-0a0d550cb315ff498
3.0.213.179,eipassoc-050b60895f41dcee3,eipalloc-04d8d4d152db12c0a
3.1.114.14,eipassoc-8fb63e73,eipalloc-072eb9c5772a6b1e6
3.1.15.193,eipassoc-07efa295c365f2d7b,eipalloc-06fb2710b1ea91805
3.1.187.215,eipassoc-c9ce6604,eipalloc-0fc7b5d3c85cf3d79
3.1.32.58,eipassoc-04be8d928e40cd855,eipalloc-0a2dc7813d7c8ea9f
13.251.229.25,eipassoc-0ac48adccbc0caceb,eipalloc-05e236d005b6be49b
18.136.225.205,eipassoc-044539d9ac606ac2c,eipalloc-0db897ebd4aaae3fe
3.1.34.103,eipassoc-d0b8131d,eipalloc-022a5d884dfc1d88a
13.228.137.70,eipassoc-7900c085,eipalloc-0a642089dbccf70cc
13.251.23.182,eipassoc-7da06381,eipalloc-09d30a6135601deb8
52.74.79.21,eipassoc-690aa6a4,eipalloc-0433450f73e2f5ff9
54.179.188.53,eipassoc-9b02ae56,eipalloc-0a1a11ae4637d654a
52.74.7.44,eipassoc-8408a849,eipalloc-d0d83ded
13.251.7.4,eipassoc-48ba8693,eipalloc-28063312
18.138.13.82,eipassoc-78a4c584,eipalloc-006546a6f42a3a90c
18.138.200.18,eipassoc-3153c5cd,eipalloc-0d8f9ac668f2b9724
18.138.206.194,eipassoc-4806b285,eipalloc-06bb8872d46166ada
52.221.160.72,eipassoc-f81c549f,eipalloc-03426666
52.76.101.3,eipassoc-789c341f,eipalloc-5a1f5c3f
18.136.18.250,eipassoc-60801e9c,eipalloc-0ef4b68f39dcd4b8b
52.220.151.185,eipassoc-7f40fcb2,eipalloc-0f2f85248928b3a28
52.77.15.97,eipassoc-0b70acc6,eipalloc-07dbf2df5a8036e36
13.213.205.126,eipassoc-0c6c4fe3ab695f484,eipalloc-092213c1a69357c86
13.228.139.237,eipassoc-2e24e548,eipalloc-ba313adf
13.228.39.80,eipassoc-0182649403ba55418,eipalloc-01701b468eef1e58b
13.251.18.181,eipassoc-a40dd958,eipalloc-992815a3
13.251.48.153,eipassoc-79f607b4,eipalloc-e63f02dc
13.251.51.217,eipassoc-e6f6072b,eipalloc-3a2b1600
13.251.87.19,eipassoc-09fe05c4,eipalloc-3d8fb407
175.41.177.183,eipassoc-0bb333c409676b4c0,eipalloc-05b68387e7f4cde86
18.138.163.197,eipassoc-0e50e29053dbc3117,eipalloc-05f50ea25fe549b34
18.138.211.189,eipassoc-09a434ba25e8b3b52,eipalloc-028e23b71d51aed8d
18.138.90.127,eipassoc-0e64dd92d68587234,eipalloc-0d646491547516d3f
18.139.109.154,,eipalloc-034ae38e69f40419f
18.139.238.56,eipassoc-0afa26680b816eb6c,eipalloc-017a6af82b77bcfc7
18.139.253.153,eipassoc-07b1bea1a8fbc1045,eipalloc-086a85f17a00cb92d
3.1.251.32,eipassoc-04b3cec818e6040ec,eipalloc-0437df9d6011ace18
46.51.223.2,eipassoc-0b43a0eb58e69a04b,eipalloc-06e380c4ac67e2fc5
52.220.143.25,eipassoc-0f1cc5f3,eipalloc-3c8fb406
52.220.200.103,eipassoc-0be1c33ad7f901d07,eipalloc-005962a012a43eac9
52.221.50.181,eipassoc-d880fee2,eipalloc-236df519
52.74.147.38,eipassoc-d509dd29,eipalloc-fc3e03c6
52.74.41.252,,eipalloc-04fcff733315c95f5
52.76.24.122,,eipalloc-093a506751932910d
52.77.27.31,eipassoc-e580fedf,eipalloc-a16bf39b
54.151.151.228,,eipalloc-082032d35ea40e7a4
54.151.152.65,eipassoc-0d4247a2cbeb2fc11,eipalloc-0746e9c0966318bcb
54.151.188.232,eipassoc-059ee8fa68b5ad58b,eipalloc-0ce896406a6f18456
54.151.226.94,eipassoc-0594254b75cfabe7c,eipalloc-0328df00fa4d04a09
54.255.115.221,eipassoc-0c7f4465e2b56d4f0,eipalloc-0e86e85e0d83072df
54.255.253.96,eipassoc-4629e820,eipalloc-863239e3
13.228.193.56,eipassoc-004c998f7a7ddcc07,eipalloc-ae7f6bcb
13.228.212.243,eipassoc-47814521,eipalloc-1b1f177e
13.228.66.221,eipassoc-1e814578,eipalloc-d61f17b3
18.136.139.99,eipassoc-0a611c23859c5efaf,eipalloc-0226f80c0813b266a
3.0.210.251,eipassoc-0d75f7a33cbce2540,eipalloc-0ed472bef46640acd
3.0.32.168,,eipalloc-08af26859888566f3
